,Time,Miliseconds,Battery,Light,Temperature,Humidity,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
75,0,743,6,507,24.04,39.28,50.25,100.91,none,none,2,2,2
76,0,744,5,508,24.07,39.29,48.79,100.92,none,none,2,2,2
77,0,745,6,507,24.05,39.25,49.75,100.91,none,none,2,2,2
78,0,744,6,508,24.05,39.28,47.25,100.91,none,none,2,2,2
79,0,744,6,507,24.07,39.32,50.85,100.92,none,none,2,2,2
80,0,745,6,507,24.07,39.3,47.53,100.91,none,none,none,none,none
81,0,3204,6,507,24.08,39.3,47.2,100.91,none,none,none,none,none
82,0,745,6,506,24.08,39.34,50.13,100.92,none,none,none,none,none
83,0,745,6,506,24.08,39.31,47.48,100.92,none,none,none,none,none
84,0,744,6,506,24.08,39.28,50.76,100.92,none,none,none,none,none
85,0,744,6,507,24.07,39.32,48.17,100.92,none,none,none,none,none
86,0,744,6,507,24.05,39.29,49.95,100.92,none,none,none,none,none
87,0,745,6,507,24.07,39.28,47.67,100.92,none,none,none,none,none
88,0,743,6,507,24.08,39.27,49.2,100.92,none,none,none,none,none
89,0,745,7,507,24.1,39.2,49.11,100.92,none,none,none,none,none
90,0,745,5,506,24.1,39.24,47.27,100.92,none,none,none,none,none
91,0,744,5,506,24.08,39.32,53.52,100.92,none,none,none,none,none
92,0,745,6,506,24.08,39.28,47.36,100.92,none,none,none,none,none
93,0,745,6,506,24.08,39.31,48.65,100.92,none,none,none,none,none
94,0,743,6,506,24.05,39.34,47.76,100.92,none,none,none,none,none
95,0,744,6,506,24.11,39.35,49.61,100.92,none,none,none,none,none
96,0,744,5,506,24.08,39.33,47.34,100.92,none,none,none,none,none
97,0,745,6,506,24.08,39.35,49.59,100.92,none,none,none,none,none
98,0,744,5,506,24.1,39.36,48.66,100.92,none,none,none,none,none
99,0,745,5,506,24.1,39.36,49.47,100.92,none,none,none,none,none
100,0,744,6,506,24.08,39.34,48.68,100.92,none,none,3,4,4
101,0,1379,6,506,24.08,39.32,49.28,100.92,none,none,3,4,4
102,0,745,6,506,24.07,39.32,48.34,100.92,none,none,3,4,4
103,0,744,6,506,24.05,39.27,49.98,100.92,none,none,3,4,4
104,0,743,6,506,24.08,39.23,47.51,100.92,none,none,3,4,4
105,0,745,6,506,24.08,39.2,49.1,100.92,none,none,3,4,4
106,0,745,6,506,24.08,39.06,46.79,100.92,none,none,3,4,4
107,0,744,6,506,24.08,39.12,49.96,100.92,none,none,3,4,4
108,0,744,6,506,24.1,39.12,48.29,100.92,none,none,3,4,4
109,0,744,6,506,24.07,39.12,49.64,100.92,none,none,3,4,4
110,0,744,6,506,24.07,39.18,47.43,100.92,none,none,3,4,4
111,0,745,6,506,24.08,39.13,49.61,100.92,none,none,3,4,4
112,0,744,6,506,24.07,39.12,48.07,100.92,none,none,3,4,4
113,0,745,6,505,24.07,39.06,49.17,100.92,none,none,3,4,4
114,0,745,6,506,24.1,39.05,49.37,100.92,none,none,3,4,4
115,0,743,6,506,24.08,39.06,47.48,100.92,none,none,3,4,4
116,0,744,6,506,24.1,39.05,48.75,100.92,none,none,3,4,4
117,0,745,6,506,24.13,39.08,48.71,100.92,none,none,3,4,4
118,0,744,6,506,24.1,39.06,49.23,100.92,none,none,3,4,4
119,0,744,6,506,24.08,39.02,48.58,100.92,none,none,none,none,none
120,0,3205,6,506,24.08,38.9,48.81,100.92,none,none,none,none,none
121,0,743,6,506,24.05,38.89,48.13,100.92,none,none,none,none,none
122,0,745,5,506,24.08,38.83,48.6,100.92,none,none,none,none,none
123,0,743,6,506,24.04,38.84,47.92,100.92,none,none,none,none,none
124,0,745,6,506,24.08,38.85,47.93,100.92,none,none,none,none,none
125,0,745,6,506,24.05,38.84,48.85,100.92,none,none,none,none,none
126,0,744,6,506,24.08,38.84,49.0,100.92,none,none,none,none,none
127,0,743,6,506,24.05,38.85,48.9,100.92,none,none,none,none,none
128,0,744,6,506,24.04,38.87,49.21,100.92,none,none,none,none,none
129,0,745,6,505,24.04,38.88,48.67,100.92,none,none,none,none,none
130,0,745,6,505,24.07,38.86,47.33,100.92,none,none,none,none,none
131,0,745,7,505,24.03,38.81,49.21,100.92,none,none,none,none,none
132,0,744,7,505,24.07,38.86,47.5,100.92,none,none,none,none,none
