,Event,Mean ms,STD ms,Min ms,Max ms
0,No Change,746.3083852313167,3.349221900552622,737,776
1,PM Sensor On,1296.98406374502,97.80454401356369,1144,1548
2,PM Sensor Off,3206.97609561753,2.694140442502027,3203,3236
